,tconst,liste_realisateurs,liste_acteurs,TitreOriginal,anneeSortie,duree,genres,noteMoyenne,nbVotes,titreVF,types,id,original_language,notePonderee
1912,tt5143700,['nm0693648'],"['nm0303379', 'nm0303379', 'nm0938105', 'nm0205061', 'nm0205061', 'nm3434689', 'nm1163659', 'nm0142683', 'nm0099886', 'nm3515425', 'nm0874028', 'nm0747027']",Snowtime!,2015,82,"['Animation', 'Comedy', 'Drama']",6.0,1544,La bataille géante de boules de neige,imdbDisplay,366656,fr,4.800000000000001
1913,tt2387692,['nm0214618'],"['nm0001376', 'nm3148447', 'nm0508085', 'nm0077781', 'nm6013566', 'nm4930305', 'nm8269201', 'nm3351138', 'nm2859339', 'nm0217845']",Souvenir,2016,90,"['Drama', 'Music', 'Romance']",6.0,1188,Souvenir,imdbDisplay,408258,fr,4.800000000000001
1914,tt1485762,['nm0393394'],"['nm0557859', 'nm0283997', 'nm0056763', 'nm0000852', 'nm0880774', 'nm0308039', 'nm0223817', 'nm2372335', 'nm1189659', 'nm0797631']",Making Plans for Lena,2009,105,['Drama'],6.0,1031,"Non ma fille, tu n'iras pas danser",imdbDisplay,31208,fr,4.800000000000001
1915,tt1091992,['nm0001929'],"['nm0000882', 'nm0136001', 'nm0141140', 'nm0001929', 'nm0383153', 'nm0077622', 'nm0941868', 'nm0013520', 'nm0494064', 'nm3116343']",A French Gigolo,2008,104,"['Drama', 'Romance']",6.0,1183,Cliente,imdbDisplay,15460,fr,4.800000000000001
1916,tt2332514,['nm0109885'],"['nm2261296', 'nm4799306', 'nm2226143', 'nm5437648', 'nm5437648', 'nm1594508', 'nm1531044', 'nm1531044', 'nm0109885']",The Girl from Nowhere,2012,91,"['Drama', 'Horror', 'Mystery']",6.0,1176,La Fille de nulle part,imdbDisplay,153820,fr,4.800000000000001
1917,tt4589186,"['nm0218022', 'nm1086956']","['nm0000367', 'nm0688143', 'nm3228320', 'nm2072818', 'nm1086956', 'nm0275138', 'nm0557859', 'nm3495920', 'nm0320759', 'nm0396391']",Saint Amour,2016,101,"['Comedy', 'Drama']",6.0,1606,Saint Amour,imdbDisplay,358725,fr,4.800000000000001
1918,tt6411984,['nm0023832'],"['nm0050210', 'nm0050210', 'nm0023832', 'nm5131164', 'nm0167467', 'nm0171499', 'nm3312994', 'nm1778069', 'nm5813029', 'nm0221159', 'nm1465673']",Barbara,2017,98,"['Biography', 'Drama', 'Music']",6.0,1208,Barbara,imdbDisplay,451618,fr,4.800000000000001
1919,tt8080196,['nm0434806'],"['nm0000366', 'nm0073384', 'nm0531195', 'nm0434806', 'nm4714676', 'nm0172989', 'nm10948522', 'nm0037723', 'nm10948523', 'nm10948524']",Happy Birthday,2019,101,"['Comedy', 'Drama', 'Family']",6.0,1361,Fête de famille,imdbDisplay,505940,fr,4.800000000000001
1920,tt0399222,"['nm0619923', 'nm0865918']","['nm0746162', 'nm0000367', 'nm0320760', 'nm0008506', 'nm0719224', 'nm0415191', 'nm0899930', 'nm0208756', 'nm0071116', 'nm0812073']",Let's Be Friends,2005,100,"['Comedy', 'Drama', 'Romance']",6.0,1257,Je préfère qu'on reste amis,imdbDisplay,40192,fr,4.800000000000001
1921,tt0091498,['nm0651915'],"['nm0001648', 'nm0001891', 'nm0000721', 'nm0078768', 'nm0129885', 'nm0959916', 'nm0959916', 'nm0356392', 'nm0369202', 'nm0397036', 'nm0524528']",Max My Love,1986,92,['Comedy'],6.0,1330,Max mon amour,imdbDisplay,64097,fr,4.800000000000001
1922,tt1206478,['nm0859323'],"['nm0296594', 'nm0244707', 'nm0723623', 'nm0557859', 'nm0693799', 'nm0480723', 'nm0883007', 'nm0320762', 'nm0012734', 'nm0179684']",Crime Is Our Business,2008,109,"['Comedy', 'Crime', 'Mystery']",6.0,1223,Le crime est notre affaire,imdbDisplay,15437,fr,4.800000000000001
